scan_id,timestamp,lat,lon,ssid,mac,rssi
179,2026-02-17 10:44:52,35.51803,11.03454,TT_3EF0,40:ED:00:C3:3E:F0,-88
178,2026-02-17 10:44:47,35.51802,11.03463,ooredoo-441262,98:A9:42:44:12:63,-85
178,2026-02-17 10:44:47,35.51802,11.03463,TT_3928,34:60:F9:BD:39:28,-88
177,2026-02-17 10:44:42,35.51797,11.03477,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-72
176,2026-02-17 10:44:37,35.51799,11.03477,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-72
176,2026-02-17 10:44:37,35.51799,11.03477,TT_3EF0,40:ED:00:C3:3E:F0,-88
175,2026-02-17 10:44:32,35.51788,11.03479,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-70
175,2026-02-17 10:44:32,35.51788,11.03479,TT_3EF0,40:ED:00:C3:3E:F0,-88
174,2026-02-17 10:44:26,35.51789,11.03479,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-70
174,2026-02-17 10:44:26,35.51789,11.03479,MyWIFI_2236-32091822D,30:EA:E7:BC:FF:34,-88
174,2026-02-17 10:44:26,35.51789,11.03479,TT_3EF0,40:ED:00:C3:3E:F0,-88
174,2026-02-17 10:44:26,35.51789,11.03479,TOPNET_E528,84:D8:1B:19:E5:28,-83
174,2026-02-17 10:44:26,35.51789,11.03479,ooredoo-68CE27,98:A9:42:68:CE:28,-89
173,2026-02-17 10:44:21,35.5179,11.03481,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-70
173,2026-02-17 10:44:21,35.5179,11.03481,TOPNET_E528,84:D8:1B:19:E5:28,-83
173,2026-02-17 10:44:21,35.5179,11.03481,MyWIFI_2236-32091822D,30:EA:E7:BC:FF:34,-88
173,2026-02-17 10:44:21,35.5179,11.03481,TT_3EF0,40:ED:00:C3:3E:F0,-88
173,2026-02-17 10:44:21,35.5179,11.03481,ORANGE_908C,24:26:D6:F5:90:94,-89
172,2026-02-17 10:44:16,35.51788,11.03478,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-70
172,2026-02-17 10:44:16,35.51788,11.03478,TOPNET_E528,84:D8:1B:19:E5:28,-83
172,2026-02-17 10:44:16,35.51788,11.03478,ORANGE_908C,24:26:D6:F5:90:94,-89
172,2026-02-17 10:44:16,35.51788,11.03478,MyWIFI_2236-32091822D,30:EA:E7:BC:FF:34,-88
172,2026-02-17 10:44:16,35.51788,11.03478,TT_3928,34:60:F9:BD:39:28,-88
